sponsor_name,Study ID,DQ Name,REFERENCE,Source Study ID,Source DQ Name,"
Data Category: IDRP Data Category Name",DQ Description,Check logic,Standard Query text,Primary Dataset,Primary Dataset Columns,Primary Form Name,Primary Visit Name,Primary Dynamic Domain,Primary Dynamic Columns,Query Target,DQ Config:Target_dataset_refname,DQ Config: Target item refname (ITEMID of RAW variable),Relational Dataset_1,Relational Dataset Columns_1,Relational Form Name_1,Relational Visit Name_1,Relational Dynamic Domain_1,Relational Dynamic Columns_1,Relational Dataset_2,Relational Dataset Columns_2,Relational Form Name_2,Relational Visit Name_2,Relational Dynamic Domain_2,Relational Dynamic Columns_2,SSPID Flag,Relational Dataset_3,Relational Dataset Columns_3,Relational Form Name_3,Relational Visit Name_3,Relational Dynamic Domain_3,Relational Dynamic Columns_3,Relational Dataset_4,Relational Dataset Columns_4,Relational Form Name_4,Relational Visit Name_4,Relational Dynamic Domain_4,Relational Dynamic Columns_4,Relational Dataset_5,Relational Dataset Columns_5,Relational Form Name_5,Relational Visit Name_5,Relational Dynamic Domain_5,Relational Dynamic Columns_5,Logic modified date,Logic modification reason,Clarification Category,Saama Comments,Sponsor Comment,DQ Config:Target_section_refname,SENT_FOR_CREATION
Test_sponsor_1,Load_study_9,Ref_Check_13,,,,ClinSpark: Prior or Concomitant Medications,Start date should not be more than 30 days after the last study drug start date.,DSDECOD<>Null (GRPID = End of Study) and CMSTDTC >max ECENDTC+30 days.Query should fire.,ClinSpark: Start date is more than 30 days after the last study drug start date. Please confirm or correct.,CM_C,CMSTDTC,,,CM_C,"CMSTDTC,CMTRT",CMSTDTC,CMP,CMSTDAT,DS_C,DSDECOD,,,DS_C,DSDECOD,EC_C,ECENDTC,,,EC_C,ECENDTC,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Load_study_3,Ref_Check_08,,,,COVID-19 Status,Date of COVID-19 status determination  should not be after<<Investigator decision date or Subject decision date>> on End of Study form.,If SSDTC > DSSTDTC. Query should fire,Date of COVID-19 status determination is after <<Investigator decision date or Subject decision date>> on End of study form. Please correct or clarify.,SS,SSDTC,COVID-19 Status,,SS,SSDTC,SSDTC,SS_CV19ST,SSDTC_T_COV19ST,DS,DSSTDTC,End of Study,,DS,DSSTDTC,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_2,Load_study_8,Ref_Check_02,,,,Menstruation History,If 'Is the subject an enrollment failure? is [No]' Menstruation History form should be completed.,_V_ENROLLFAILYN = N and there is no record in TRIGGER domain with FORMNAME = Menstruation History. Query should fire,"Is the subject an enrollment failure? is [No] however Menstruation History form is missing. Please update, else clarify.",TRIGGER,_V_ENROLLFAILYN,"Enrollment Failure,Menstruation History",,TRIGGER,_V_ENROLLFAILYN,_V_ENROLLFAILYN,ENR_F,_V_ENROLLFAILYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_2,Load_study_8,Ref_Check_01,,,,Central Lab - Other Tests,"Protocol specified Hepatitis tests should exist for a visit which has a lab collection scheduled.
  Hepatitis B surface antigen
  Hepatitis C antibody","LBTESTCD = HBSAG or HBCAB is missing
  Query should be fire.",LAB REVIEW: Hepatitis tests [%LBTESTCD%] is/are missing. Please check with Lab.,LB,"LBCAT,LBTESTCD,LBTEST,LBDTC",,Screening,LB,"LBCAT,LBDTC",LBTEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_4,Load_study_2,Ref_Check_9,,,,Allergan Face Satisfaction Scale (AFSS) - Volume,"Timestamp Date should match the corresponding Event Date.
 
 Note: Only date to be considered for programming. Exclude time.","QSCAT = AFSS-VL V1.0  and VISITNAME(QS)=VISITNAME(DOV) and QSDTC <> DCMDATE, query should fire.

NOTE: One Query per QSDTC (Lowest SPID)",Timestamp Date is not same as the corresponding Event Date. Please correct or clarify.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_4,Load_study_8,Ref_Check_11,,,,Central Labs - Pregnancy,"If 'Is the subject an enrollment failure?' is 'No' and 'FEMALE CHILDBEARING POTENTIAL' is 'No', <FSH> result should be <lab result requirement>.","_V_ENROLLFAILYN = N and LBORRES = Null in LB_LOCAL domain and LBORRES = POSITIVE where LBCAT = PREGNANCY in LB domain, query should fire",Protocol Compliance: Response to 'Female Childbearing Potential' is 'No' but FSH result is [%LBORRES%]. Please confirm or contact Central Lab.,TRIGGER,Enrollment Failure,_V_ENROLLFAILYN,,TRIGGER,_V_ENROLLFAILYN,_V_ENROLLFAILYN,ENR_F,_V_ENROLLFAILYN,LB,"LBORRES,LBCAT",,,LB,"LBORRES,LBCAT,DCMDATE,GRPID,SPID,VISIT",LB_LOCAL,,Pregnancy Test (Urine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_4,Load_study_5,Ref_Check_05,,,,Post Study Treatment Radiation Therapy,"If ""Was therapy related to study cancer?"" is selected as Yes, then Treatment intent should not be unknown.",PRRELDS = Y and PRINDC = UNKNOWN. Query should fire,"Treatment intent provided as Unknown, however If ""Was therapy related to study cancer? is selected as Yes. Please correct else clarify.",PR,"PRRELDS,PRINDC",Post Radiation Therapy,"Post PD Follow-up,Response Follow-Up,Safety Follow Up",PR,"PRRELDS,PRINDC,PRCAT",PRRELDS,PR_CRAD_LO,PRRELDS_T_PRT,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1258197,,,,Medical History,"If 'Is the subject an enrollment failure?' is 'No', Medical History eCRF should be completed.",_V_ENROLLFAILYN = N and there is no record in MH domain. Query should fire,Data is required for Medical History eCRF. Please update.,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,_V_ENROLLFAILYN,ENR_F,_V_ENROLLFAILYN,MH,,Medical History,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255619,,,,Central Labs - Hematology,Date of collection should be on or before the 'Investigator decision date' or 'Subject decision date' on the End of Study eCRF.,"When LBCAT = HEMATOLOGY and LBDTC> DSSTDTC. Query should fire.
  
  Note : One query per LBDTC (consider lowest SPID)","Accession number: [%LBREFID%], Date of collection [%LBDTC%] is after the investigator/subject decision date [%DSSTDTC%] on the End of Study eCRF. Please update date in EDC or contact Central Lab.",LB,"LBDTC,LBCAT,LBREFID",,,LB,"LBDTC,LBCAT,LBREFID",LBDTC,,,DS,DSSTDTC,End of Study,,DS,"DSDECOD,DSTERM,DSSTDTC",,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255561,,,,Adverse Events,"sponsor Causality for (Study Drug Name) should not be present in the AE dataset for Non-Serious Adverse events.
Note for DM: sponsor Causality is loaded from the Safety database in AE dataset, thus forward to PDM for further follow-ups, No queries to be raised to site.","AESER = N and AEAREL <> Null, query should fire","DM Review: sponsor Causality for (Study Drug Name) is present in the AE dataset, but response to 'Is the adverse event serious?' is 'No' on the Adverse Event eCRF. Please check.",AE,"AESER,AEAREL",Adverse Events,,AE,"AETERM,AEAREL,AESER",AESER,AE_F,AESER,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255562,,,,Adverse Events,"""If the adverse event is serious then sponsor Causality for (Study Drug Name) should be present in the AE dataset.
Note for DM: sponsor Causality is loaded from the Safety database in AE dataset, thus forward to PDM to check if the criteria that pulls the causality is met and for further follow-ups, No queries to be raised to site.""","AESER = Y and AEAREL = Null, query should fire","DM Review: Response to 'Is the adverse event serious?' is 'Yes' on the Adverse Event eCRF, but  sponsor Causality for (Study Drug Name) is missing in the AE dataset. Please check.",AE,"AESER,AEAREL",Adverse Events,,AE,"AETERM,AEAREL,AESER",AESER,AE_F,AESER,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255575,,,,Central Labs - Chemistry,"Ensure non-screen failures enrolled in the study satisfy eligibility criteria related to Laboratory Data .
- Serum alanine transaminase (ALT) ) â‰¤ 2Ã— ULN","_V_ENROLLFAILYN = N and LBCAT = CHEMISTRY and LBTESTCD = ALT and LBORRES OR LBSTRESN > 2 x LBORNRHI.
 
 Note: 1. One Query per LBDTC (Lowest SPID) 
 2. if LBORRES = LBSTRESN, only one prediction is expected.","Test name: [%LBTEST%], Result: [%LBORRES%]: Result does not satisfy eligibility criteria but 'Is the subject an enrollment failure?' is selected as 'No'. Please verify and correct as appropriate.",LB,"LBCAT,LBDTC,LBORRES,LBORNRHI,LBTEST,LBTESTCD,LBSTRESN",,Screening,LB,"LBCAT,LBDTC,LBORRES,LBORNRHI,LBTEST,LBTESTCD,LBSTRESN,LBREFID",LBORRES,,,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255565,,,,Adverse Events,"If 2 adverse events have the same modified reported term, and the start date is between start and end of another AE, then it could be a duplicate or overlapping AE","AETERM <> Null and if AEDECOD of one adverse event = AEDECOD another adverse event and AESTDTC of one AEDECOD is ≥ AESTDTC and ≤ AEENDTC of another AEDECOD. Query should fire.
  
  Note: one query on AETERM on lowest SPID of dupliacte data",Start date [%AESTDTC%] of adverse events [%FORMINX%] with same modified reported term [%AETERM%] is between the start date [%AESTDTC%] and end date [%AEENDTC%] of another adverse event [%FORMINX%]. Please review.,AE,"AETERM,AESTDTC,AEENDTC,AEDECOD",Adverse Events,,AE,"AETERM,AESTDTC,AEENDTC,AEDECOD",AETERM,AE_F,AETERM,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255570,,,,Adverse Events,"Ensure that if ""Action taken with study treatment"" is recorded as ""Dose increased"" or ""Dose reduced"" for an adverse event, the reason for dose adjustment is Adverse event in the corresponding dosing record, and vice versa.",AEACN = DOSE INCREASED or DOSE REDUCED  and there is no record in EC domain with ECADJ = ADVERSE EVENT and ECSTDTC or ECENDTC is within AESTDTC and AEENDTC. Query should fire,"Action taken with study treatment is recorded as 'Dose Increased' or Dose reduced"" however the reason for dose adjustment is not Adverse event in the corresponding dosing record, please review and update the data appropriately or else clarify.",AE,"AEACN,AESTDTC,AEENDTC",Adverse Events,,AE,"AEACN,AESTDTC,AEENDTC,AETERM",AEACN,AE_F,AEACN,EC,"ECADJ,ECSTDTC,ECENDTC",,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255624,,,,Central Labs - Pregnancy,"If 'Is the subject an enrollment failure?' is 'No' and Event date is present and subject is female, pregnancy serum or Urine results should be present.",_V_ENROLLFAILYN = N and DCMDATE <> Null and SEX = F and there is no record with VISIT (DOV) = VISIT (LB) and LBCAT = PREGNANCY in LB. Query should fire,"DM Review: Event date for screening visit is present, but pregnancy test results are missing in the vendor file. Please confirm or contact Central Lab.",DOV,DCMDATE,Date of Visit,Screening,DOV,DCMDATE,DCMDATE,DOV,DCMDATE,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,LB,LBCAT,,,,,NO,DM,SEX,,,DM,SEX,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255572,,,,Body Surface Area,If the 'Event Date' for the visit is entered then the data for the 'Body Surface Area' eCRF should be updated. Note: check should not fire if 'Did subject meet all eligibility criteria?' is 'No' on 'Eligibility Criteria' form.,DCMDATE <> NULL and IEYN = Y and there is no record in FA domain where VISIT (DOV) = VISIT (FA). Query should fire.,"The 'Event Date' for [%VISIT%] visit is entered. However, the data on the 'Body Surface Area' eCRF is missing. Kindly update the same.",DOV,DCMDATE,Date of Visit,"Baseline,Screening",DOV,DCMDATE,DCMDATE,DOV,DCMDATE,FA,,Body Surface Area (BSA) with Atopic Dermatitis,,,,IE,IEYN,Eligibility Criteria,,IE,IEYN,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255574,,,,Central Labs - Chemistry,"Ensure non-screen failures enrolled in the study satisfy eligibility criteria related to Laboratory Data .
- Serum aspartate transaminase (AST) (AST) â‰¤ 2Ã— upper limit of normal (ULN);","_V_ENROLLFAILYN = N and LBCAT = CHEMISTRY and LBTESTCD = AST and LBORRES or LBSTRESN > 2.0 x LBORNRHI. Query should fire

 Note: One Query per LBDTC (Lowest SPID) 
 if LBORRES = LBSTRESN, only one prediction is expected.","Test name: [%LBTEST%], Result: [%LBORRES%]: Result does not satisfy eligibility criteria but 'Is the subject an enrollment failure?' is selected as 'No'. Please verify and correct as appropriate.",LB,"LBCAT,LBDTC,LBORRES,LBORNRHI,LBTEST,LBTESTCD,LBSTRESN",,Screening,LB,"LBCAT,LBDTC,LBORRES,LBORNRHI,LBTEST,LBTESTCD,LBSTRESN,LBREFID",LBDTC,,,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255576,,,,Central Labs - Chemistry,"Ensure non-screen failures enrolled in the study satisfy eligibility criteria related to Laboratory Data .
- Estimated glomerular filtration rate (GFR) by modified Schwartz equation should be < 60 mL/min/1.73 m2","_V_ENROLLFAILYN = N and LBCAT = CHEMISTRY and LBTESTCD = GFR and LBORRES or LBSTRESN > or = 60 and LBORRESU or LBSTRESU = mL/min/1.73 m2 . Query should fire

 Note: One Query per LBDTC (Lowest SPID) 
 if LBORRES = LBSTRESN, only one prediction is expected.","Test name: [%LBTEST%], Result: [%LBORRES%]: Result does not satisfy eligibility criteria but 'Is the subject an enrollment failure?' is selected as 'No'. Please verify and correct as appropriate.",LB,"LBCAT,LBDTC,LBORRES,LBTEST,LBTESTCD,LBSTRESN,LBORRESU,LBSTRESU",,Screening,LB,"LBCAT,LBDTC,LBORRES,LBTEST,LBTESTCD,LBSTRESN,LBORRESU,LBSTRESU,LBREFID",LBDTC,,,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255593,,,,Central Labs - Hematology,Ensure non-screen failures enrolled in the study satisfy eligibility criteria related to Laboratory Data. Subjects must not have evidence of detectable HCV ribonucleic acid (RNA) in any subject with anti-HCV antibody (HCV Ab).,"_V_ENROLLFAILYN = N and LBORRES = POSITIVE for LBTESTCD = HCAB and LBORRES <> HCV RNA NOT DETECTED for LBTESTCD = HCVVLD, query should fire","Test name: [%LBTEST%], Result: [%LOBORRES%]: Result does not satisfy eligibility criteria but 'Is the subject an enrollment failure?' is selected as 'No'. Please verify and correct as appropriate.",TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,_V_ENROLLFAILYN,ENR_F,_V_ENROLLFAILYN,LB,"LBTEST,LBTESTCD,LBORRES",,Screening,LB,"LBTEST,LBTESTCD,LBORRES",,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255663,,,,Chest X-ray,"If the 'Event Date' for the visit is entered then the data for the 'Chest X-ray' eCRF should be updated. 
Note:  Chest X ray should be completed, If positive TB test results or newly identified TB risk factors per questionnaire and check should not fire if 'Did subject meet all eligibility criteria?' is 'No' on 'Eligibility Criteria' form.","DCMDATE <> Null  and IEYN = Y and MBORRES = POSITIVE for MBTESTCD = MYTBGIR and there is no data in PR domain where VISIT (DOV) = VISIT (PR), query should fire

OR 

DCMDATE <> Null  and IEYN = Y and there is at least 1 record per VISIT in ER domain where EROCCUR = Y and there is no data in PR domain where VISIT (ER)=VISIT (DOV) = VISIT (PR), query should fire

NOTE FOR UI :
If prediction is generated based on part 1 of logic, display MB domain in UI and do not display ER domain for such predictions. 
If prediction is generated based on part 2 of logic, display ER domain in UI with lowest SPID and do not display MB domain for such predictions.","The 'Event Date' for the visit is entered however, the data on the 'Chest X-ray' eCRF is missing. Kindly update the same.",DOV,DCMDATE,Date of Visit,"Baseline,Screening,Week 100,Week 148,Week 52",DOV,DCMDATE,DCMDATE,DOV,DCMDATE,IE,IEYN,Eligibility Criteria,,IE,IEYN,MB,"MBORRES,MBTESTCD",TB Screening,,MB,"MBORRES,MBTESTCD",NO,ER,EROCCUR,TB Risk Assessment Questionnaire,,ER,"EROCCUR,ERCAT,ERTERM",PR,,Chest X-Ray,,,,,,,,,,,,,,,,
Test_sponsor_1,Loads_study_61,rulefn_1255594,,,,Central Labs - Hematology,"Ensure non-screen failures enrolled in the study satisfy eligibility criteria related to Laboratory Data .
- Absolute neutrophil count (ANC) â‰¥1,500/Î¼L;",LBCAT = HEMATOLOGY and LBTESTCD = NEUT and LBSTRESN < 1.5  and LBSTRESU = 10^9/L and _V_ENROLLFAILYN = N. Query should fire,"Test name: [%LBTEST%], Result: [%LBORRES%]: Result does not satisfy eligibility criteria but 'Is the subject an enrollment failure?' is selected as 'No'. Please verify and correct as appropriate.",LB,"LBCAT,LBTESTCD,LBTEST,LBSTRESN,LBSTRESU,LBORRES,LBORRESU",,Screening,LB,"LBCAT,LBTESTCD,LBTEST,LBSTRESN,LBSTRESU,LBORRES,LBORRESU",LBTEST,,,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
